"award_date","publish_date","title","award","authors","abstract"
"2018","ASIACRYPT 2018","Block Cipher Invariants as Eigenvectors of Correlation
            Matrices","Best Paper Award","Tim
              Beyne","A new approach to invariant subspaces and nonlinear
          invariants is developed. This results in both theoretical insights and practical attacks on block ciphers. It
          is shown that, with minor modifications to some of the round constants, Midori-64 has a nonlinear invariant
          with $$2^{96}$$ corresponding weak keys. Furthermore, this invariant corresponds to a linear hull with maximal
          correlation. By combining the new invariant with integral cryptanalysis, a practical key-recovery attack on 10
          rounds of unmodified Midori-64 is obtained. The attack works for $$2^{96}$$ weak keys and irrespective of the
          choice of round constants. The data complexity is $$1.25 \cdot 2^{21}$$ chosen plaintexts and the
          computational cost is dominated by $$2^{56}$$ block cipher calls. Finally, it is shown that similar techniques
          lead to a practical key-recovery attack on MANTIS-4. The full key is recovered using 640 chosen plaintexts and
          the attack requires about $$2^{56}$$ block cipher calls."
"2018","TCC 2005","Evaluating 2-DNF Formulas on Ciphertexts","TCC Test of Time Award","Dan Boneh, Eu-Jin Goh, Kobbi Nissim",""
"2018","CRYPTO 2018","Yes, There is an Oblivious RAM Lower Bound!","Best Paper Award","Kasper Green
              Larsen, Jesper Buus Nielsen","An Oblivious RAM (ORAM) introduced by Goldreich and
          Ostrovsky [JACM’96] is a (possibly randomized) RAM, for which the memory access pattern reveals no information
          about the operations performed. The main performance metric of an ORAM is the bandwidth overhead, i.e., the
          multiplicative factor extra memory blocks that must be accessed to hide the operation sequence. In their
          seminal paper introducing the ORAM, Goldreich and Ostrovsky proved an amortized
          $$\varOmega (\lg n)$$
          bandwidth overhead lower bound for ORAMs with memory size n. Their lower bound is very strong in the sense
          that it applies to the “offline” setting in which the ORAM knows the entire sequence of operations ahead of
          time.However, as pointed out by Boyle and Naor [ITCS’16] in the paper “Is there an oblivious RAM lower
          bound?”, there are two caveats with the lower bound of Goldreich and Ostrovsky: (1) it only applies to “balls
          in bins” algorithms, i.e., algorithms where the ORAM may only shuffle blocks around and not apply any
          sophisticated encoding of the data, and (2), it only applies to statistically secure constructions. Boyle and
          Naor showed that removing the “balls in bins” assumption would result in super linear lower bounds for sorting
          circuits, a long standing open problem in circuit complexity. As a way to circumventing this barrier, they
          also proposed a notion of an “online” ORAM, which is an ORAM that remains secure even if the operations arrive
          in an online manner. They argued that most known ORAM constructions work in the online setting as well.Our
          contribution is an
          $$\varOmega (\lg n)$$
          lower bound on the bandwidth overhead of any online ORAM, even if we require only computational security and
          allow arbitrary representations of data, thus greatly strengthening the lower bound of Goldreich and Ostrovsky
          in the online setting. Our lower bound applies to ORAMs with memory size n and any word size
          $$r \ge 1$$
          . The bound therefore asymptotically matches the known upper bounds when
          $$r = \varOmega (\lg ^2 n)$$
          ."
"2018","CRYPTO 2018","Multi-Theorem Preprocessing NIZKs from
            Lattices","Best Young Researcher Paper","Sam Kim, David J. Wu","Non-interactive zero-knowledge (NIZK) proofs are
          fundamental to modern cryptography. Numerous NIZK constructions are known in both the random oracle and the
          common reference string (CRS) models. In the CRS model, there exist constructions from several classes of
          cryptographic assumptions such as trapdoor permutations, pairings, and indistinguishability obfuscation.
          Notably absent from this list, however, are constructions from standard lattice assumptions. While there has
          been partial progress in realizing NIZKs from lattices for specific languages, constructing NIZK proofs (and
          arguments) for all of $$\mathsf {NP}$$ from standard lattice assumptions remains open.   In this work, we make
          progress on this problem by giving the first construction of a multi-theorem NIZK argument for $$\mathsf
          {NP}$$ from standard lattice assumptions in the preprocessing model. In the preprocessing model, a (trusted)
          setup algorithm generates proving and verification keys. The proving key is needed to construct proofs and the
          verification key is needed to check proofs. In the multi-theorem setting, the proving and verification keys
          should be reusable for an unbounded number of theorems without compromising soundness or zero-knowledge.
          Existing constructions of NIZKs in the preprocessing model (or even the designated-verifier model) that rely
          on weaker assumptions like one-way functions or oblivious transfer are only secure in a single-theorem
          setting. Thus, constructing multi-theorem NIZKs in the preprocessing model does not seem to be inherently
          easier than constructing them in the CRS model.   We begin by constructing a multi-theorem preprocessing NIZK
          directly from context-hiding homomorphic signatures. Then, we show how to efficiently implement the
          preprocessing step using a new cryptographic primitive called blind homomorphic signatures. This primitive may
          be of independent interest. Finally, we show how to leverage our new lattice-based preprocessing NIZKs to
          obtain new malicious-secure MPC protocols purely from standard lattice assumptions."
"2018","EUROCRYPT 2018","Simple Proofs of Sequential Work","Best Paper","Bram
              Cohen, Krzysztof Pietrzak",""
"2018","EUROCRYPT 2018","k-Round Multiparty Computation from k-Round Oblivious
            Transfer via Garbled Interactive Circuits","Best Paper","Fabrice
              Benhamouda, Huijia Lin",""
"2018","EUROCRYPT 2018","Two-Round Multiparty Secure Computation from Minimal
            Assumptions","Best Paper","Sanjam
              Garg, Akshayaram Srinivasan",""
"2018","EUROCRYPT 2018","The Discrete-Logarithm Problem with
            Preprocessing","Best Young Researcher","Henry
              Corrigan-Gibbs, Dmitry Kogan",""
"2018","TCC 2018","On Basing Search SIVP on NP-Hardness","Best Student Paper","Tianren
              Liu","The possibility of basing cryptography on the minimal
          assumption
          $$\mathbf{NP }\nsubseteq \mathbf{BPP }$$
          NP⊈BPP is at the very heart of complexity-theoretic cryptography. The closest we have gotten so far is
          lattice-based cryptography whose average-case security is based on the worst-case hardness of approximate
          shortest vector problems on integer lattices. The state-of-the-art is the construction of a one-way function
          (and collision-resistant hash function) based on the hardness of the
          $$\tilde{O}(n)$$
          O~(n)-approximate shortest independent vector problem
          $${\textsf {SIVP}}_{\tilde{O}(n)}$$
          SIVPO~(n).Although
          $${\textsf {SIVP}}$$
          SIVP is NP-hard in its exact version, Guruswami et al. (CCC 2004) showed that
          $${\textsf {gapSIVP}}_{\sqrt{n/\log n}}$$
          gapSIVPn/logn is in
          $$\mathbf{NP } \cap \mathbf{coAM }$$
          NP∩coAM and thus unlikely to be
          $$\mathbf{NP }$$
          NP-hard. Indeed, any language that can be reduced to
          $${\textsf {gapSIVP}}_{\tilde{O}(\sqrt{n})}$$
          gapSIVPO~(n) (under general probabilistic polynomial-time adaptive reductions) is in
          $$\mathbf{AM } \cap \mathbf{coAM }$$
          AM∩coAM by the results of Peikert and Vaikuntanathan (CRYPTO 2008) and Mahmoody and Xiao (CCC 2010). However,
          none of these results apply to reductions to search problems, still leaving open a ray of hope: can
          $$\mathbf{NP }$$
          NPbe reduced to solving search SIVP with approximation factor
          $$\tilde{O}(n)$$
          O~(n)?We eliminate such possibility, by showing that any language that can be reduced to solving search
          $${\textsf {SIVP}}$$
          SIVP with any approximation factor
          $$\lambda (n) = \omega (n\log n)$$
          λ(n)=ω(nlogn) lies in AM intersect coAM."
"2018","TCHES 2018","Cold Boot Attacks on Ring and Module LWE Keys Under the
            NTT","Best Paper at CHES 2019","Martin R.
              Albrecht, Amit Deo, Kenneth G. Paterson","In this work, we consider the ring- and module- variants
          of the LWE problem and investigate cold boot attacks on cryptographic schemes based on these problems, wherein
          an attacker is faced with the problem of recovering a scheme’s secret key from a noisy version of that key.
          The leakage resilience of cryptography based on the learning with errors (LWE) problem has been studied
          before, but there are only limited results considering the parameters observed in cold boot attack scenarios.
          There are two main encodings for storing ring- and module-LWE keys, and, as we show, the performance of cold
          boot attacks can be highly sensitive to the exact encoding used. The first encoding stores polynomial
          coefficients directly in memory. The second encoding performs a number theoretic transform (NTT) before
          storing the key, a commonly used method leading to more efficient implementations. We first give estimates for
          a cold boot attack complexity on the first encoding method based on standard algorithms; this analysis
          confirms that this encoding method is vulnerable to cold boot attacks only at very low bit-flip rates. We then
          show that, for the second encoding method, the structure introduced by using an NTT is exploitable in the cold
          boot setting: we develop a bespoke attack strategy that is much cheaper than our estimates for the first
          encoding when considering module-LWE keys. For example, at a 1% bit-flip rate (which corresponds roughly to
          what can be achieved in practice for cold boot attacks when applying cooling), a cold boot attack on Kyber KEM
          parameters has a cost of 243 operations when the second, NTT-based encoding is used for key storage, compared
          to 270 operations with the first encoding. On the other hand, in the case of the ring-LWE-based KEM, New Hope,
          the cold boot attack complexities are similar for both encoding methods."
"2018","TOSC 2018","Key-Recovery Attacks on Full Kravatte","Best Paper FSE 2018","Colin
              Chaigneau, Thomas Fuhr, Henri Gilbert, Jian Guo, Jérémy Jean, Jean-René Reinhard, Ling Song","This paper presents a cryptanalysis of full Kravatte, an
          instantiation of the Farfalle construction of a pseudorandom function (PRF) with variable input and output
          length. This new construction, proposed by Bertoni et al., introduces an efficiently parallelizable and
          extremely versatile building block for the design of symmetric mechanisms, e.g. message authentication codes
          or stream ciphers. It relies on a set of permutations and on so-called rolling functions: it can be split into
          a compression layer followed by a two-step expansion layer. The key is expanded and used to mask the inputs
          and outputs of the construction. Kravatte instantiates Farfalle using linear rolling functions and
          permutations obtained by iterating the Keccak round function.We develop in this paper several attacks against
          this PRF, based on three different attack strategies that bypass part of the construction and target a reduced
          number of permutation rounds. A higher order differential distinguisher exploits the possibility to build an
          affine space of values in the cipher state after the compression layer. An algebraic meet-in-the-middle attack
          can be mounted on the second step of the expansion layer. Finally, due to the linearity of the rolling
          function and the low algebraic degree of the Keccak round function, a linear recurrence distinguisher can be
          found on intermediate states of the second step of the expansion layer. All the attacks rely on the ability to
          invert a small number of the final rounds of the construction. In particular, the last two rounds of the
          construction together with the final masking by the key can be algebraically inverted, which allows to recover
          the key.The complexities of the devised attacks, applied to the Kravatte specifications published on the IACR
          ePrint in July 2017, or the strengthened version of Kravatte recently presented at ECC 2017, are far below the
          security claimed."
"2017","ASIACRYPT 2017","Identification Protocols and Signature Schemes Based on
            Supersingular Isogeny Problems","Best Paper","Steven D.
              Galbraith, Christophe Petit, Javier Silva",""
"2017","TCC 2006","Efficient Collision-Resistant Hashing from Worst-Case
            Assumptions on Cyclic Lattices","TCC Test of Time Award","Chris
              Peikert, Alon Rosen",""
"2017","CRYPTO 2017","The First Collision for Full SHA-1","Best paper","Marc
              Stevens, Elie Bursztein, Pierre Karpman, Ange Albertini, Yarik Markov",""
"2017","CRYPTO 2017","Identity-Based Encryption from the Diffie-Hellman
            Assumption","Best paper","Nico
              Döttling, Sanjam Garg",""
"2017","CRYPTO 2017","Watermarking Cryptographic Functionalities from
            Standard Lattice Assumptions","Best young researcher paper","Sam Kim, David J. Wu",""
"2017","EUROCRYPT 2017","Scrypt Is Maximally Memory-Hard","Best Paper","Joël
              Alwen, Binyi Chen, Krzysztof Pietrzak, Leonid Reyzin, Stefano Tessaro",""
"2017","CHES 2017","Nanofocused X-Ray Beam to Reprogram Secure
            Circuits","Best Paper","Stéphanie
              Anceau, Pierre Bleuet, Jessy Clédière, Laurent Maingault, Jean-luc Rainard, Rémi Tucoulou","Synchrotron-based X-ray nanobeams are investigated as a
          tool to perturb microcontroller circuits. An intense hard X-ray focused beam of a few tens of nanometers is
          used to target the flash, EEPROM and RAM memory of a circuit. The obtained results show that it is possible to
          corrupt a single transistor in a semi-permanent state. A simple heat treatment can remove the induced effect,
          thus making the corruption reversible. An attack on a code stored in flash demonstrates unambiguously that
          this new technique can be a threat to the security of integrated circuits."
"2016","ASIACRYPT 2016","Faster Fully Homomorphic Encryption: Bootstrapping in
            Less Than 0.1 Seconds","Best Paper","Ilaria
              Chillotti, Nicolas Gama, Mariya Georgieva, Malika Izabachène",""
"2016","TCC 2006","Calibrating Noise to Sensitivity in Private Data
            Analysis","TCC Test of Time Award","Cynthia
              Dwork, Frank McSherry, Kobbi Nissim, Adam Smith",""
"2016","TCC 2004","Indifferentiability, Impossibility Results on
            Reductions, and Applications to the Random Oracle Methodology","TCC Test of Time Award","Ueli
              Maurer, Renato Renner, Clemens Holenstein",""
"2016","CRYPTO 2016","The Magic of ELFs","Early Career Award","Mark
              Zhandry",""
"2016","CRYPTO 2016","Breaking the Circuit Size Barrier for Secure
            Computation Under DDH","Best Paper","Elette
              Boyle, Niv Gilboa, Yuval Ishai",""
"2016","EUROCRYPT 2016","Tightly CCA-Secure Encryption Without
            Pairings","Best Paper","Romain
              Gay, Dennis Hofheinz, Eike Kiltz, Hoeteck Wee",""
"2016","CHES 2016","Differential Computation Analysis: Hiding Your
            White-Box Designs is Not Enough","Best Paper","Joppe W.
              Bos, Charles Hubain, Wil Michiels, Philippe Teuwen",""
"2016","FSE 2016","Verifiable Side-Channel Security of Cryptographic
            Implementations: Constant-Time MEE-CBC","Best Paper","José Bacelar
              Almeida, Manuel Barbosa, Gilles Barthe, François Dupressoir",""
"2015","ASIACRYPT 2015","Improved Security Proofs in Lattice-Based Cryptography:
            Using the R&eacute;nyi Divergence Rather Than the Statistical Distance","Best Paper","Shi Bai, Adeline Roux-Langlois, Tancrède Lepoint, Damien Stehlé, Ron Steinfeld",""
"2015","TCC 2004","Physically Observable Cryptography (Extended
            Abstract)","TCC Test of Time Award","Silvio
              Micali, Leonid Reyzin",""
"2015","CRYPTO 2015","Integral Cryptanalysis on Full MISTY1","Best Paper","Yosuke
              Todo",""
"2015","EUROCRYPT 2015","Cryptanalysis of the Multilinear Map over the
            Integers","Best Paper","Jung Hee
              Cheon, Kyoohyung Han, Changmin Lee, Hansol Ryu, Damien Stehlé",""
"2015","CHES 2015","A Physical Approach for Stochastic Modeling of
            TERO-Based TRNG","Best Paper","Patrick
              Haddad, Viktor Fischer, Florent Bernard, Jean Nicolai",""
"2015","FSE 2015","GCM Security Bounds Reconsidered","Best Paper","Yuichi
              Niwa, Keisuke Ohashi, Kazuhiko Minematsu, Tetsu Iwata",""
"2014","ASIACRYPT 2014","Solving LPN Using Covering Codes","Best Paper","Qian Guo, Thomas Johansson, Carl Löndahl",""
"2014","CRYPTO 2014","Revisiting the Gentry-Szydlo Algorithm","Best Paper","Hendrik W. Lenstra
              Jr., Alice Silverberg",""
"2014","EUROCRYPT 2014","Unifying Leakage Models: From Probing Attacks to Noisy
            Leakage","Best Paper","Alexandre
              Duc, Stefan Dziembowski, Sebastian Faust",""
"2014","EUROCRYPT 2014","A Heuristic Quasi-Polynomial Algorithm for Discrete
            Logarithm in Finite Fields of Small Characteristic","Best Paper","Razvan
              Barbulescu, Pierrick Gaudry, Antoine Joux, Emmanuel Thomé",""
"2014","CHES 2014","EM Attack Is Non-invasive? - Design Methodology and
            Validity Verification of EM Attack Sensor","Best Paper","Naofumi
              Homma, Yu-ichi Hayashi, Noriyuki Miura, Daisuke Fujimoto, Daichi Tanaka, Makoto Nagata, Takafumi Aoki",""
"2014","FSE 2014","Differential-Linear Cryptanalysis Revisited","Best Paper","Céline
              Blondeau, Gregor Leander, Kaisa Nyberg",""
"2014","FSE 2014","Direct Construction of Recursive MDS Diffusion Layers
            Using Shortened BCH Codes","Best Paper","Daniel
              Augot, Matthieu Finiasz",""
"2013","ASIACRYPT 2013","Shorter Quasi-Adaptive NIZK Proofs for Linear
            Subspaces","Best Paper","Charanjit S.
              Jutla, Arnab Roy",""
"2013","CRYPTO 2013","On the Function Field Sieve and the Impact of Higher
            Splitting Probabilities","Best Paper","Faruk
              Göloglu, Robert Granger, Gary McGuire, Jens Zumbrägel",""
"2013","CRYPTO 2013","Counter-cryptanalysis: reconstructing Flame's new
            variant collision attack","Best Young-Author Paper","Marc
              Stevens",""
"2013","EUROCRYPT 2013","Candidate Multilinear Maps from Ideal
            Lattices","Best Paper","Sanjam
              Garg, Craig Gentry, Shai Halevi",""
"2013","CHES 2013","Lambda Coordinates for Binary Elliptic
            Curves","Best Paper","Thomaz
              Oliveira, Julio López, Diego F. Aranha, Francisco Rodríguez-Henríquez",""
"2012","CRYPTO 2012","Efficient Dissection of Composite Problems, with
            Applications to Cryptanalysis, Knapsacks, and Combinatorial Search Problems","Best Paper","Itai
              Dinur, Orr Dunkelman, Nathan Keller, Adi Shamir",""
"2012","EUROCRYPT 2012","Cover and Decomposition Index Calculus on Elliptic
            Curves Made Practical - Application to a Previously Unreachable Curve over $F_(p^6)$","Best Paper","Antoine
              Joux, Vanessa Vitse",""
"2012","CHES 2012","Compiler Assisted Masking","Best Paper","Andrew
              Moss, Elisabeth Oswald, Daniel Page, Michael Tunstall",""
"2012","FSE 2012","New Attacks on Keccak-224 and Keccak-256","Best Paper","Itai
              Dinur, Orr Dunkelman, Adi Shamir",""
"2012","FSE 2012","Recursive Diffusion Layers for Block Ciphers and Hash
            Functions","Best Paper","Mahdi
              Sajadieh, Mohammad Dakhilalian, Hamid Mala, Pouyan Sepehrdad",""
"2012","FSE 2012","Improved Rebound Attack on the Finalist
            Gr&oslash;stl","Best Paper","Jérémy
              Jean, María Naya-Plasencia, Thomas Peyrin",""
"2012","TCC 2012","Point Obfuscation and 3-Round Zero-Knowledge","Best Student Paper","Nir
              Bitansky, Omer Paneth",""
"2012","TCC 2012","Lower Bounds in Differential Privacy","Best Student Paper","Anindya
              De",""
"2011","ASIACRYPT 2011","Counting Points on Genus 2 Curves with Real
            Multiplication","Best Paper","Pierrick
              Gaudry, David Kohel, Benjamin A. Smith",""
"2011","ASIACRYPT 2011","A Framework for Practical Universally Composable
            Zero-Knowledge Protocols","Best Paper","Jan
              Camenisch, Stephan Krenn, Victor Shoup",""
"2011","CRYPTO 2011","Computer-Aided Security Proofs for the Working
            Cryptographer","Best Paper","Gilles
              Barthe, Benjamin Grégoire, Sylvain Heraud, Santiago Zanella-Béguelin",""
"2011","EUROCRYPT 2011","Efficient Authentication from Hard Learning
            Problems","Best paper","Eike Kiltz, Krzysztof Pietrzak, David Cash, Abhishek Jain, Daniele Venturi",""
"2011","CHES 2011","Fast Multi-precision Multiplication for Public-Key
            Cryptography on Embedded Microprocessors","Best Paper","Michael
              Hutter, Erich Wenger",""
"2011","FSE 2011","A Single-Key Attack on the Full GOST Block
            Cipher","Best Paper","Takanori
              Isobe",""
"2011","TCC 2011","Security Amplification for the Cascade of Arbitrarily
            Weak PRPs: Tight Bounds via the Interactive Hardcore Lemma","Best Student Paper","Stefano
              Tessaro",""
"2010","ASIACRYPT 2010","Rotational Rebound Attacks on Reduced Skein","Best Paper","Dmitry
              Khovratovich, Ivica Nikolic, Christian Rechberger",""
"2010","CRYPTO 2010","Toward Basing Fully Homomorphic Encryption on
            Worst-Case Hardness","Best paper","Craig
              Gentry",""
"2010","EUROCRYPT 2010","Bonsai Trees, or How to Delegate a Lattice
            Basis","Best Paper","David
              Cash, Dennis Hofheinz, Eike Kiltz, Chris Peikert",""
"2010","CHES 2010","Public Key Perturbation of Randomized RSA
            Implementations","Best Paper","Alexandre
              Berzati, Cécile Canovas-Dumas, Louis Goubin",""
"2010","FSE 2010","Attacking the Knudsen-Preneel Compression
            Functions","Best Paper","Onur Özen, Thomas Shrimpton, Martijn Stam",""
"2010","PKC 2010","Chosen-Ciphertext Security from Slightly Lossy Trapdoor
            Functions","Best Paper","Petros
              Mol, Scott Yilek",""
"2010","TCC 2010","Parallel Repetition Theorems for Interactive
            Arguments","Best Student Paper","Kai-Min
              Chung, Feng-Hao Liu",""
"2009","ASIACRYPT 2009","Improved Generic Algorithms for 3-Collisions","Best Paper","Antoine
              Joux, Stefan Lucks",""
"2009","CRYPTO 2009","Short Chosen-Prefix Collisions for MD5 and the Creation
            of a Rogue CA Certificate","Best paper","Marc
              Stevens, Alexander Sotirov, Jacob Appelbaum, Arjen K. Lenstra, David Molnar, Dag Arne Osvik, Benne de Weger",""
"2009","EUROCRYPT 2009","Practical Chosen Ciphertext Secure Encryption from
            Factoring","Best paper","Dennis
              Hofheinz, Eike Kiltz",""
"2009","CHES 2009","Hardware Accelerator for the Tate Pairing in
            Characteristic Three Based on Karatsuba-Ofman Multipliers","Best Paper","Jean-Luc
              Beuchat, Jérémie Detrey, Nicolas Estibals, Eiji Okamoto, Francisco Rodríguez-Henríquez",""
"2009","CHES 2009","A New Side-Channel Attack on RSA Prime
            Generation","Best Paper","Thomas
              Finke, Max Gebhardt, Werner Schindler",""
"2009","CHES 2009","Faster and Timing-Attack Resistant AES-GCM","Best Paper","Emilia
              Käsper, Peter Schwabe",""
"2009","FSE 2009","Blockcipher-Based Hashing Revisited","Best Paper","Martijn
              Stam",""
"2009","PKC 2009","Implicit Factoring: On Polynomial Time Factoring Given
            Only an Implicit Hint","Best Paper","Alexander
              May, Maike Ritzenhofen",""
"2008","ASIACRYPT 2008","Breaking the F-FCSR-H Stream Cipher in Real
            Time","Best Paper","Martin
              Hell, Thomas Johansson",""
"2008","ASIACRYPT 2008","Speeding Up the Pollard Rho Method on Prime
            Fields","Best Paper","Jung Hee
              Cheon, Jin Hong, Minkyu Kim",""
"2008","ASIACRYPT 2008","A Modular Security Analysis of the TLS Handshake
            Protocol","Best Paper","Paul
              Morrissey, Nigel P. Smart, Bogdan Warinschi",""
"2008","CRYPTO 2008","The Random Oracle Model and the Ideal Cipher Model Are
            Equivalent","Best Paper","Jean-Sébastien
              Coron, Jacques Patarin, Yannick Seurin",""
"2008","EUROCRYPT 2008","Isogenies and the Discrete Logarithm Problem in
            Jacobians of Genus 3 Hyperelliptic Curves","Best Paper","Benjamin
              Smith",""
"2008","CHES 2008","Time-Area Optimized Public-Key Engines: -Cryptosystems
            as Replacement for Elliptic Curves?","Best Paper","Andrey
              Bogdanov, Thomas Eisenbarth, Andy Rupp, Christopher Wolf",""
"2008","CHES 2008","Attack and Improvement of a Secure S-Box Calculation
            Based on the Fourier Transform","Best Paper","Jean-Sébastien
              Coron, Christophe Giraud, Emmanuel Prouff, Matthieu Rivain",""
"2008","PKC 2008","Lattice-Based Identification Schemes Secure Under
            Active Attacks","Best Paper","Vadim
              Lyubashevsky",""
"2007","ASIACRYPT 2007","Cryptanalysis of Grindahl","Best Paper","Thomas
              Peyrin",""
"2007","ASIACRYPT 2007","Faster Addition and Doubling on Elliptic
            Curves","Best Paper","Daniel J.
              Bernstein, Tanja Lange",""
"2007","CRYPTO 2007","Cryptography with Constant Input Locality","Best paper","Benny
              Applebaum, Yuval Ishai, Eyal Kushilevitz",""
"2007","EUROCRYPT 2007","Zero Knowledge and Soundness Are Symmetric","Best Paper","Shien Jin
              Ong, Salil P. Vadhan",""
"2007","CHES 2007","Side Channel Cryptanalysis of a Higher Order Masking
            Scheme","Best Paper","Jean-Sébastien
              Coron, Emmanuel Prouff, Matthieu Rivain",""
"2007","CHES 2007","Arithmetic Operators for Pairing-Based
            Cryptography","Best Paper","Jean-Luc
              Beuchat, Nicolas Brisebarre, Jérémie Detrey, Eiji Okamoto",""
"2007","PKC 2007","Full-Domain Subgroup Hiding and Constant-Size Group
            Signatures","Best paper","Xavier
              Boyen, Brent Waters",""
"2007","TCC 2007","Tackling Adaptive Corruptions in Multicast Encryption
            Protocols","Best Student Paper","Saurabh
              Panjwani",""
"2006","ASIACRYPT 2006","Finding SHA-1 Characteristics: General Results and
            Applications","Best Paper","Christophe De
              Cannière, Christian Rechberger",""
"2006","CRYPTO 2006","On the Power of the Randomized Iterate","Best paper","Iftach
              Haitner, Danny Harnik, Omer Reingold",""
"2006","EUROCRYPT 2006","Learning a Parallelepiped: Cryptanalysis of GGH and NTRU
            Signatures","Best Paper","Phong Q.
              Nguyen, Oded Regev",""
"2006","PKC 2006","New Attacks on RSA with Small Secret
            CRT-Exponents","Best Paper","Daniel
              Bleichenbacher, Alexander May",""
"2005","EUROCRYPT 2005","Cryptanalysis of the Hash Functions MD4 and
            RIPEMD","Best Paper","Xiaoyun
              Wang, Xuejia Lai, Dengguo Feng, Hui Chen, Xiuyuan Yu",""
"2005","EUROCRYPT 2005","How to Break MD5 and Other Hash Functions","Best Paper","Xiaoyun
              Wang, Hongbo Yu",""
"2005","CHES 2005","Successfully Attacking Masked AES Hardware
            Implementations","Best Paper","Stefan
              Mangard, Norbert Pramstaller, Elisabeth Oswald",""
"2004","ASIACRYPT 2004","The XL-Algorithm and a Conjecture from Commutative
            Algebra","Best Paper","Claus Diem",""
